CompanyID,帳戶凍結,資金調度缺口,存款不足退票,股價上升,營收較去年同期下滑,營收創新低,營收創新高,訴訟,非訟,行政處分,假扣押,假處分,內線交易,強制執行,違反證券交易法,違反公司法,違反銀行法,違反政府採購法,違反公平交易法,違反著作權法,違反保險法,違反刑法,違反證交法,違反買賣合約,董事長提公訴,董事長遭起訴,董事長被起訴,經理人遭起訴,經理人被起訴,債權扣押,存款扣押,停工,罷工,縮減規模,出售廠房,出售設備,出售土地,出售設備,出售資產,出售建物,出售不動產,處分資產,處分建物,處分不動產,處分債權,處分股權,處分財產,處分資產,處分建物,處分不動產,處分債權,處分股權,處分財產,抵押廠房,抵押設備,抵押土地,抵押設備,抵押資產,抵押建物,抵押不動產,抵押債權,抵押財產,轉售設備,轉售設備,轉售資產,轉售股權,讓與土地,讓與資產,讓與股權,申請重整,聲請重整,破產,裁定緊急處分,董事長辭職,董事長換人,董事長下台,董事長退休,董事長死亡,董事長過世,副董事長辭職,副董事長換人,副董事長下台,副董事長退休,副董事長過世,總經理辭職,總經理換人,總經理過世,副總經理辭職,副總經理下台,副總經理退休,副總經理過世,執行長退休,發言人辭職,發言人退休,發言人過世,營運長退休,償還銀行借款,償還銀行貸款,會計估計事項變動,會計師查核,簽訂合約,簽訂契約,簽訂合作意向書,簽訂意願書,簽訂備忘錄,簽訂合同,簽署合約,簽署契約,簽署合作意向書,簽署意願書,簽署協定,簽署協議,變更合約,變更契約,變更協議,終止協議,終止協定,終止合約,終止契約,解除合約,解除契約,轉換公司債,發行新股,發行普通股,發行存託憑證,發行有價證券,撤銷私募,撤銷轉換公司債,撤銷增資,撤銷發行存託憑證,通過私募,通過轉換公司債,通過增資,通過發行新股,通過發行普通股,通過發行存託憑證,通過發行有價證券,減資,註銷減資,收購股權,股份轉換,股份轉讓,分配股利,發放紅利,分派紅利,分配紅利,配發紅利,發放盈餘,不發放股利,不分派股利,不分配股利,不配發股利,不分配盈餘,不配發盈餘,澄清媒體報導,掏空,營運週轉,改選董事,改選監察人,董監事改選,違反公平交易法,違反銀行法,違反保險法,違反證券商管理規則,違反證券管理法,發生火災,發生氣爆,勒令停工,停止交易,現金對價收購,融資買進,引進股東,引進投資人,引進投資夥伴,引進合作伙伴,背書保證子公司,背書保證投資公司,處分損失,股東放棄認購,吸收合併,簡易合併,洽特定人認購,終止股票買賣,終止股票上市,撤銷股票上市,停止股票買賣,停止股票上市,買回公司股份,持續虧損,破產,獲利不如預期,債權協商,股票全額交割,跳票,拒絕往來戶,調高股利,調降股利,投資海外子公司,赴大陸投資,設立功能性委員會,董事或監察人持股不足,董事長兼任總經理,獨立董監事兼任,違反資訊申報,公司年度稅後虧損惟董監事酬金增加,金管會證券期貨局裁罰,辦理私募之應募人為內部人,董事會議決事項未經審計委員會通過,下市與否
1337,0,0,0,0,0,0,-2.227938046,0.44932848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.610021963,0,0,0,0,0,0,0,0,-0.825301813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.480881979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.495207848,0,0,0,0,0,1.095684491,0,0,1.050147647,0,0,0,0,0,0,0,0,0,0,0,0,-1.880031124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8397764,1.488757183,1.522333703,0,0,0,-1.634801331,0,0,0,0,0,N
1338,0,0,0,0,0,0,-0.556984512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.050147647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44932848,0,0,0,0,-0.50222207,0,0,0,0,0,0,0,0,0,1.084781907,2.96296652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.488757183,1.522333703,-5.399496648,-3.346582197,0,-1.634801331,0,0,0,0,0,N
1339,0,0,0,0,0,0,-1.670953535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69908571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895016495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.506708165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.488757183,1.522333703,-5.399496648,0,0,-1.634801331,0,0,0,0,0,N
1407,0,0,32.82551039,0,0,0,-0.556984512,4.043956317,0,0,27.63113405,0,0,1.854423176,2.78730898,0,4.299208018,0,0,0,17.19683207,0,0,0,0,0,0,0,0,3.10567046,0,-2.063254532,1.398171421,0,0,0,0,0,0,0,0,1.477765594,0,0,6.471344723,0,0,1.477765594,0,0,6.471344723,0,0,5.837627933,0,13.13020416,0,0,0,0,2.955253617,0,3.366322214,3.366322214,0,0,0,0,0,4.617978078,7.731733763,0,0,0,0,0,0.551559342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443391607,0,0,10.44264594,1.624413086,0,0,0,0,0,0,0,0,0,0,0,0,0,1.805010982,0,0,0,0,0,0,1.095684491,0,0,1.050147647,0,0,0,0,0,0,0,0.816430099,0,0,0,0,-8.773478577,0,0.759438594,0,0,0.44932848,0,0,0,0,0,0,1.805010982,0,0,0,0,0,20.82094079,0,9.763037162,14.8148326,13.98931164,0,4.299208018,17.19683207,0,0,0,0,0,0,0,0,6.704932154,0,0,0,0,0,0.625119627,0,0,0,0,0,5.848475678,0,0,0,0,0,0,0,69.57560685,0,114.4198468,0,0,0,1.488757183,0,0,0,0,0,0,0,0,0,0,Y
1408,0,0,6.565102078,0,0,0,0,0,0,0,3.947304864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477765594,0,0.995548215,0,0,0,1.477765594,0,0.995548215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.154489175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.760062247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.098510668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.865311492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
1422,0,0,6.565102078,0,0,0,0,0,0,0,3.947304864,0,0,1.854423176,0,5.2644426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.816390335,0,1.955564442,0.872125177,0,1.477765594,0,0,12.94268945,0,0,1.477765594,0,0,12.94268945,0,0,0,0,13.13020416,0,0,0,0,0,0,0,0,0,0,0,0,0,4.617978078,20.6179567,0,24.98696239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4934812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.253354082,0,0,0,0,0.44932848,0,0,0,0,0,0,0,0,2.924237839,0,0,0,0,0,1.084781907,0,0,0,0,0,0,0,0,0,0,12.295532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.924237839,0,13.40261292,0,0,0.666531628,0,0,23.19186895,0,76.27989784,0,0,0,1.488757183,1.522333703,0,0,0,0,0,0,0,0,0,Y
1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.412650906,0,0,0,0,1.408195167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40821505,0,0,0,0,-1.253354082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.488757183,1.522333703,0,0,0,0,0,0,0,0,0,Y
1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.654124525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.253354082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.254345721,2.96296652,2.797862329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.924237839,0,0,0,0,0,0,0,11.59593448,0,15.25597957,0,0,0,0,0,0,0,-2.605559405,0,0,0,0,0,0,Y
1462,0,0,0,0,1.025364065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.408195167,0,3.911128885,0,0,4.433296783,0,0,12.94268945,0,0,4.433296783,0,0,12.94268945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.577244588,0.974167704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.540875559,0,0,0,0.969778302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.53354082,0,0,0,0,0.44932848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084781907,0,1.398931164,0,0,0,0,0,0,0,0,4.098510668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.40261292,7.237807474,0,0,0.974167704,0,11.59593448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415354959,2.654124525,0,0,0,0,0,0,1.477765594,0,0,0,0,0,1.477765594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.082942057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.382737963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44932848,0,0,0,0,-0.50222207,0,0,0,0,0,0,0,0,4.044735626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.488757183,1.522333703,0,0,0,0,0,0,0,0,0,Y
1520,0,0,0,1.174995991,1.025364065,0,0,0,0,0,0,0,56.96857464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541471029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.878712737,0,0,0,0,0,0,0,0,15.94821048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084781907,2.96296652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.679552799,0,6.414685236,11.69695136,10.09896664,0,0,0,0,0,0.432518957,0,0,0,0,0,0,1.488757183,1.522333703,0,0,0,0,0,0,0,0,0,Y
1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27043778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.191368981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.253354082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.488757183,0,0,0,0,0,0,0,0,0,0,Y
1582,0,0,0,0,0,0,-1.670953535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44932848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676006713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.399496648,-3.346582197,0,-1.634801331,0,0,0,0,0,N
